index,Unnamed: 0,id,carpark_id,max_carpark_full,current_carpark_full_total,calculated
1,1,2023-06-09T08:00:00-61,61,313,48,2023-06-09 08:00:00
8,8,2023-02-23T07:00:00-61,61,313,66,2023-02-23 07:00:00
37,37,2023-02-09T23:00:00-51,51,87,0,2023-02-09 23:00:00
40,40,2023-06-06T05:00:00-71,71,469,74,2023-06-06 05:00:00
55,55,2023-09-09T13:00:00-61,61,313,37,2023-09-09 13:00:00
57,57,2023-04-15T06:00:00-71,71,469,5,2023-04-15 06:00:00
58,58,2023-07-31T09:00:00-61,61,313,115,2023-07-31 09:00:00
62,62,2023-02-28T21:00:00-71,71,469,0,2023-02-28 21:00:00
78,78,2023-10-06T07:00:00-51,51,83,82,2023-10-06 07:00:00
80,80,2023-06-06T10:00:00-61,61,313,152,2023-06-06 10:00:00
90,90,2023-07-21T04:00:00-61,61,313,25,2023-07-21 04:00:00
98,98,2023-04-26T01:00:00-61,61,313,26,2023-04-26 01:00:00
105,105,2023-07-26T07:00:00-61,61,313,106,2023-07-26 07:00:00
115,115,2023-04-18T16:00:00-71,71,469,59,2023-04-18 16:00:00
116,116,2023-08-21T12:00:00-51,51,83,23,2023-08-21 12:00:00
126,126,2023-08-16T07:00:00-61,61,313,36,2023-08-16 07:00:00
132,132,2023-02-22T16:00:00-51,51,87,7,2023-02-22 16:00:00
134,134,2023-04-27T12:00:00-51,51,87,83,2023-04-27 12:00:00
140,140,2023-07-26T04:00:00-71,71,469,13,2023-07-26 04:00:00
141,141,2023-03-08T13:00:00-71,71,469,275,2023-03-08 13:00:00
144,144,2023-04-17T01:00:00-61,61,313,14,2023-04-17 01:00:00
149,149,2023-03-16T17:00:00-61,61,313,58,2023-03-16 17:00:00
163,163,2023-06-26T21:00:00-51,51,83,0,2023-06-26 21:00:00
165,165,2023-09-07T22:00:00-51,51,83,1,2023-09-07 22:00:00
170,170,2023-03-15T11:00:00-71,71,469,322,2023-03-15 11:00:00
175,175,2023-07-12T13:00:00-61,61,313,152,2023-07-12 13:00:00
177,177,2023-04-25T13:00:00-71,71,469,299,2023-04-25 13:00:00
182,182,2023-04-24T19:00:00-61,61,313,0,2023-04-24 19:00:00
186,186,2023-05-16T09:00:00-61,61,313,199,2023-05-16 09:00:00
194,194,2023-07-14T12:00:00-51,51,83,46,2023-07-14 12:00:00
210,210,2023-08-15T18:00:00-71,71,469,7,2023-08-15 18:00:00
213,213,2023-10-06T18:00:00-71,71,469,20,2023-10-06 18:00:00
223,223,2023-05-02T08:00:00-61,61,313,113,2023-05-02 08:00:00
224,224,2023-05-15T11:00:00-51,51,87,79,2023-05-15 11:00:00
230,230,2023-08-20T10:00:00-71,71,469,7,2023-08-20 10:00:00
233,233,2023-05-01T12:00:00-51,51,87,2,2023-05-01 12:00:00
234,234,2023-08-11T13:00:00-71,71,469,27,2023-08-11 13:00:00
245,245,2023-07-15T20:00:00-71,71,469,11,2023-07-15 20:00:00
247,247,2023-09-09T08:00:00-71,71,469,44,2023-09-09 08:00:00
252,252,2023-07-09T20:00:00-61,61,313,16,2023-07-09 20:00:00
261,261,2023-09-30T07:00:00-51,51,83,10,2023-09-30 07:00:00
275,275,2023-06-06T08:00:00-71,71,469,228,2023-06-06 08:00:00
277,277,2023-04-01T19:00:00-71,71,469,17,2023-04-01 19:00:00
283,283,2023-06-15T08:00:00-71,71,469,265,2023-06-15 08:00:00
285,285,2023-05-29T01:00:00-61,61,313,9,2023-05-29 01:00:00
287,287,2023-09-27T09:00:00-61,61,313,189,2023-09-27 09:00:00
288,288,2023-06-26T07:00:00-61,61,313,117,2023-06-26 07:00:00
290,290,2023-06-19T12:00:00-51,51,83,69,2023-06-19 12:00:00
292,292,2023-09-08T17:00:00-51,51,83,10,2023-09-08 17:00:00
296,296,2023-10-02T20:00:00-71,71,469,14,2023-10-02 20:00:00
298,298,2023-04-01T11:00:00-61,61,313,16,2023-04-01 11:00:00
300,300,2023-07-19T08:00:00-61,61,313,191,2023-07-19 08:00:00
301,301,2023-08-25T17:00:00-51,51,83,8,2023-08-25 17:00:00
305,305,2023-03-04T19:00:00-51,51,87,1,2023-03-04 19:00:00
318,318,2023-08-12T18:00:00-61,61,313,1,2023-08-12 18:00:00
335,335,2023-03-05T16:00:00-71,71,469,26,2023-03-05 16:00:00
342,342,2023-07-06T12:00:00-61,61,313,218,2023-07-06 12:00:00
346,346,2023-09-01T18:00:00-71,71,469,12,2023-09-01 18:00:00
365,365,2023-07-31T23:00:00-71,71,469,3,2023-07-31 23:00:00
371,371,2023-03-02T15:00:00-51,51,87,31,2023-03-02 15:00:00
373,373,2023-09-18T10:00:00-51,51,83,75,2023-09-18 10:00:00
386,386,2023-02-07T11:00:00-61,61,313,149,2023-02-07 11:00:00
387,387,2023-06-07T10:00:00-51,51,83,52,2023-06-07 10:00:00
388,388,2023-06-27T11:00:00-61,61,313,219,2023-06-27 11:00:00
409,409,2023-06-11T09:00:00-61,61,313,1,2023-06-11 09:00:00
410,410,2023-04-21T21:00:00-51,51,87,0,2023-04-21 21:00:00
413,413,2023-10-04T09:00:00-71,71,469,325,2023-10-04 09:00:00
414,414,2023-08-27T12:00:00-51,51,83,1,2023-08-27 12:00:00
415,415,2023-09-25T05:00:00-51,51,83,3,2023-09-25 05:00:00
422,422,2023-02-07T00:00:00-61,61,313,34,2023-02-07 00:00:00
424,424,2023-05-19T15:00:00-71,71,469,38,2023-05-19 15:00:00
426,426,2023-07-26T15:00:00-61,61,313,26,2023-07-26 15:00:00
428,428,2023-09-28T14:00:00-61,61,313,140,2023-09-28 14:00:00
430,430,2023-10-08T10:00:00-71,71,469,9,2023-10-08 10:00:00
432,432,2023-05-09T03:00:00-71,71,469,15,2023-05-09 03:00:00
440,440,2023-09-21T03:00:00-71,71,469,10,2023-09-21 03:00:00
449,449,2023-09-01T19:00:00-51,51,83,8,2023-09-01 19:00:00
452,452,2023-08-07T18:00:00-71,71,469,55,2023-08-07 18:00:00
457,457,2023-05-01T02:00:00-71,71,469,15,2023-05-01 02:00:00
461,461,2023-07-03T00:00:00-71,71,469,0,2023-07-03 00:00:00
471,471,2023-02-01T07:00:00-61,61,313,68,2023-02-01 07:00:00
479,479,2023-08-30T06:00:00-61,61,313,29,2023-08-30 06:00:00
482,482,2023-06-29T14:00:00-61,61,313,137,2023-06-29 14:00:00
486,486,2023-09-22T12:00:00-61,61,313,52,2023-09-22 12:00:00
510,510,2023-06-15T23:00:00-61,61,313,30,2023-06-15 23:00:00
515,515,2023-08-08T08:00:00-51,51,83,52,2023-08-08 08:00:00
516,516,2023-05-11T12:00:00-61,61,313,226,2023-05-11 12:00:00
520,520,2023-09-06T09:00:00-61,61,313,61,2023-09-06 09:00:00
525,525,2023-03-31T09:00:00-71,71,469,171,2023-03-31 09:00:00
527,527,2023-05-25T16:00:00-61,61,313,48,2023-05-25 16:00:00
528,528,2023-04-22T10:00:00-71,71,469,126,2023-04-22 10:00:00
529,529,2023-05-30T14:00:00-71,71,469,71,2023-05-30 14:00:00
531,531,2023-08-13T17:00:00-61,61,313,6,2023-08-13 17:00:00
534,534,2023-05-28T13:00:00-51,51,87,1,2023-05-28 13:00:00
539,539,2023-07-15T11:00:00-71,71,469,56,2023-07-15 11:00:00
540,540,2023-06-06T22:00:00-61,61,313,1,2023-06-06 22:00:00
543,543,2023-04-04T02:00:00-61,61,313,23,2023-04-04 02:00:00
544,544,2023-04-15T04:00:00-71,71,469,0,2023-04-15 04:00:00
545,545,2023-09-14T11:00:00-61,61,313,69,2023-09-14 11:00:00
546,546,2023-09-04T23:00:00-51,51,83,4,2023-09-04 23:00:00
548,548,2023-02-26T00:00:00-51,51,87,3,2023-02-26 00:00:00
553,553,2023-02-14T02:00:00-71,71,408,0,2023-02-14 02:00:00
554,554,2023-02-16T15:00:00-61,61,313,73,2023-02-16 15:00:00
558,558,2023-06-09T02:00:00-71,71,469,3,2023-06-09 02:00:00
559,559,2023-10-01T17:00:00-51,51,83,5,2023-10-01 17:00:00
574,574,2023-06-21T22:00:00-51,51,83,0,2023-06-21 22:00:00
575,575,2023-07-05T18:00:00-51,51,83,0,2023-07-05 18:00:00
579,579,2023-08-17T00:00:00-51,51,83,0,2023-08-17 00:00:00
583,583,2023-09-24T19:00:00-71,71,469,12,2023-09-24 19:00:00
588,588,2023-04-23T16:00:00-51,51,87,0,2023-04-23 16:00:00
